cliente,idade,sexo,estado_civil,grau_escolaridade,dependentes,trabalha,salario_ano,casa_propria,valor_imovel,seguro_residencia,carro,seguro_auto,cartao,seguro_cartao,poupanca,renda_fixa,credito_pessoal,scode_credito
708082083,45,1,2,3,3,1,40090.0,0,0,0,1,0,1,0,2,3,0,778.0
708083283,58,0,1,1,0,1,66560.0,0,0,0,0,0,1,1,0,2,3,276.3
708084558,46,0,3,5,3,1,123680.0,0,0,0,1,1,1,1,0,0,3,401.0
708085458,34,1,1,4,0,1,19720.0,0,0,0,0,0,1,0,0,2,1,347.4
708086958,49,1,2,4,2,0,0.0,1,437000,1,2,0,1,1,2,2,3,476.0
708095133,43,0,0,5,4,1,182750.0,0,0,0,1,0,1,0,2,2,3,522.9
708098133,32,1,2,2,0,1,15910.0,0,0,0,0,0,1,1,0,0,3,186.0
708099183,37,1,1,3,0,1,18460.0,0,0,0,0,0,1,1,1,0,2,377.1
708100533,55,1,1,1,0,1,24810.0,0,0,0,1,0,1,1,1,2,0,502.2
708103608,52,0,1,3,0,1,124480.0,1,1580000,1,1,1,1,1,1,0,0,804.6
708104658,46,0,0,2,1,1,65230.00000000001,0,0,0,1,0,1,0,2,1,2,407.0
708108333,47,1,2,2,3,0,0.0,1,151000,0,1,0,1,0,2,0,1,284.0
708112008,56,0,2,2,2,1,133490.0,0,0,0,1,0,1,0,2,2,2,479.0
708113208,53,1,2,3,1,1,23410.0,1,438000,1,1,0,1,0,1,3,1,435.0
708117933,44,1,3,2,2,1,18950.0,1,247000,1,1,0,1,1,3,3,3,345.0
708119658,49,1,2,2,4,1,67420.0,0,0,0,1,0,1,1,3,0,3,433.0
708121908,48,0,2,4,4,1,127900.0,1,205000,1,1,0,1,0,0,0,1,533.0
708123033,41,1,1,2,0,1,37360.0,1,1451000,1,0,0,2,0,1,1,2,598.5
708125733,46,1,3,1,2,1,22330.0,0,0,0,1,0,1,1,1,0,3,478.0
708128733,50,1,1,5,0,1,105120.0,0,0,0,1,1,1,0,2,3,0,567.9
708129933,45,1,1,2,1,1,21910.0,0,0,0,1,0,1,1,0,3,2,423.9
708132783,47,1,1,4,0,0,0.0,0,0,0,0,0,1,0,2,1,1,409.68
708134283,35,0,2,4,2,1,16079.999999999998,0,0,0,1,0,1,1,2,1,3,374.0
708136908,62,1,1,2,0,1,25400.0,0,0,0,0,0,1,1,1,0,3,489.6
708139833,40,0,0,2,3,1,90390.0,0,0,0,1,0,1,1,0,2,3,360.0
708145908,61,1,2,2,0,1,76190.0,1,400000,0,1,1,1,0,1,1,0,545.0
708147108,26,0,3,2,0,0,0.0,0,0,0,0,0,1,1,1,3,0,407.2
708148158,39,1,2,1,4,0,0.0,1,421000,1,1,0,1,0,3,3,2,345.6
708151008,49,1,2,2,4,1,66750.0,0,0,0,0,0,1,0,1,1,2,351.0
708152358,54,0,0,5,1,1,144200.0,1,802000,1,1,0,1,1,2,2,3,638.0
708153558,46,0,3,5,5,1,201520.0,1,794000,1,1,0,1,1,2,3,0,788.55
708154833,39,1,1,2,0,1,18060.0,1,234000,0,1,1,1,1,2,0,1,324.9
708155733,53,0,1,3,0,1,192420.0,0,0,0,0,0,1,1,0,2,0,369.0
708158133,45,0,2,1,3,1,123500.0,1,219000,0,1,0,1,1,3,2,3,363.0
708160008,44,0,2,4,1,1,197420.0,1,741000,1,1,0,1,0,2,3,1,760.14
708161133,45,0,1,2,0,1,65880.0,0,0,0,0,0,1,1,3,3,0,351.0
708162558,64,1,2,4,0,0,0.0,0,0,0,0,0,1,0,1,3,3,298.4
708163758,41,0,2,5,3,1,205640.0,1,1309000,1,2,0,1,1,1,1,2,958.65
708170508,38,0,2,2,2,1,88240.0,1,165000,1,1,1,1,0,2,1,3,371.0
708171858,33,1,2,5,3,1,59680.0,0,0,0,1,0,1,0,0,1,2,325.0
708173433,26,1,1,1,0,1,56170.0,0,0,0,0,0,1,1,3,0,1,287.1
708174708,38,0,2,2,4,1,59570.0,0,0,0,0,0,1,0,2,1,1,335.0
708176208,48,1,2,2,1,1,70540.0,0,0,0,2,0,1,1,1,3,1,572.0
708177333,51,1,2,3,2,1,17790.0,0,0,0,1,0,2,0,3,3,0,354.0
708178608,31,1,2,2,0,0,0.0,0,0,0,1,0,1,1,0,0,0,357.6
708185208,27,0,1,2,0,1,54290.0,0,0,0,0,0,1,1,3,2,1,175.5
708186933,33,0,1,2,0,1,85700.0,0,0,0,1,0,1,0,0,0,0,351.0
708190158,38,1,1,3,0,1,18440.0,1,275000,0,1,0,1,1,1,3,2,276.3
708193008,41,0,1,4,1,1,119910.0,0,0,0,1,1,1,1,1,2,3,419.4
708195633,40,0,0,3,2,1,122230.0,0,0,0,1,0,2,0,3,3,0,590.0
708197358,57,0,0,4,2,1,147680.0,0,0,0,0,0,1,0,3,0,3,715.0
708204033,36,1,1,1,2,1,20150.0,0,0,0,0,0,1,0,1,0,2,280.8
708205083,38,1,2,3,1,1,21980.0,0,0,0,2,0,1,0,3,3,1,539.0
708207783,50,1,1,3,0,1,23570.0,1,468000,0,1,1,1,0,2,0,3,493.2
708208758,53,0,1,2,0,1,130840.0,0,0,0,1,0,1,1,1,2,1,403.2
708211383,35,1,1,2,0,1,19940.0,0,0,0,1,1,1,0,0,2,2,414.0
708212658,38,1,2,2,3,1,17100.0,0,0,0,1,1,1,1,2,0,0,294.0
708216108,56,1,2,1,1,1,69800.0,0,0,0,0,0,1,0,1,3,2,383.0
708217758,63,0,2,2,2,1,105200.0,0,0,0,1,0,1,1,0,3,1,476.0
708219108,49,0,3,1,3,1,138430.0,1,730000,0,1,0,1,0,0,1,2,642.0
708219858,39,0,1,2,0,1,64110.0,0,0,0,1,1,1,1,0,2,2,412.2
708222558,37,1,2,1,2,1,20770.0,0,0,0,1,0,1,0,0,0,0,474.0
708223383,47,1,2,3,3,0,0.0,0,0,0,0,0,1,0,3,2,2,405.6
708224133,61,0,1,4,0,1,75020.0,1,443000,1,0,0,1,1,1,3,1,486.9
708225483,47,0,2,2,4,1,130860.00000000001,1,425000,1,0,0,1,1,0,2,0,567.0
708226833,53,0,2,3,1,1,222990.0,1,1325000,1,2,0,3,0,0,1,1,938.0
708229308,49,1,2,2,2,1,73580.0,0,0,0,1,0,1,1,3,1,1,511.0
708231183,30,0,3,4,1,0,0.0,0,0,0,0,0,1,0,2,2,2,393.6
708234558,55,1,3,1,2,1,24070.0,0,0,0,1,0,1,1,2,0,1,472.0
708238833,57,1,2,3,3,1,18830.0,0,0,0,1,0,1,0,0,0,2,326.0
708241233,52,1,1,1,0,1,17530.0,0,0,0,1,1,1,1,2,2,1,352.8
708242283,29,0,1,1,0,1,85360.0,0,0,0,1,0,1,1,0,0,2,461.7
708243483,53,0,2,1,3,1,197290.0,0,0,0,0,0,1,1,0,0,0,548.0
708244458,47,1,2,1,2,1,21180.0,1,349000,0,1,0,1,1,2,2,1,475.0
708245808,35,0,2,2,3,1,107830.0,0,0,0,0,0,1,0,1,2,0,807.0
708248358,42,0,0,2,4,1,114880.0,1,1486000,0,0,0,2,0,2,3,0,807.0
708249708,48,1,2,1,1,1,18110.0,1,299000,1,1,1,1,0,0,0,2,441.0
708252108,64,0,1,1,0,1,76210.0,0,0,0,1,1,1,1,0,3,3,545.4
708253458,59,1,1,4,0,1,144910.0,0,0,0,0,0,1,1,3,1,3,529.2
708254733,41,1,1,1,1,1,22940.0,0,0,0,1,0,1,0,3,2,0,514.8
708255633,36,0,1,2,0,1,117350.0,0,0,0,0,0,1,0,3,2,0,366.3
708260208,43,1,1,4,2,1,21830.0,0,0,0,1,0,1,1,2,1,3,450.9
708266883,34,1,1,2,0,1,17350.0,1,231000,1,0,0,1,1,2,0,3,308.7
708267858,65,1,2,3,0,1,73720.0,0,0,0,1,0,1,1,1,2,0,405.0
708269583,42,1,3,4,3,1,21240.0,0,0,0,0,0,1,0,0,0,2,463.0
708271833,42,0,1,2,0,1,64650.00000000001,0,0,0,0,0,2,0,2,2,0,474.3
708272808,45,0,1,2,2,1,20320.0,0,0,0,0,0,1,0,2,0,0,346.5
708273858,40,0,3,2,3,1,183990.0,1,373000,1,1,1,1,1,1,2,3,621.0
708276183,52,1,2,1,3,1,18690.0,1,155000,1,2,0,1,1,2,3,2,434.0
708281433,57,1,2,2,2,1,23080.0,0,0,0,0,0,1,1,2,3,3,409.0
